Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
chapare hemorrhagic fev,Infectious Diseases,0,Cluster 1,Cluster 1,0.4,0,1,66,1,1,7,357,1,0,0,7,20,0,0,0,0,1,Stable
pubic lic,Infectious Diseases,87,Cluster 2,Cluster 2,2,0,2,41,20,5,7,358,2,1,1,7,36,1,1,2,0,2,Transfer
loaloa,Infectious Diseases,0,Cluster 1,Cluster 4,1.6,0,2,53,0,3,13,329,2,0,0,13,24,1,1,2,0,2,Stable
mycoplasma pneumonia,Infectious Diseases,2,Cluster 1,Cluster 1,0,0,0,0,13,99,0,876,62,29,4,0,0,0,0,0,0,0,Stable
epstein-barrviru,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,0,15,81,16,717,51,21,3,16,1,0,1,0,0,0,Stable
genital herp,Infectious Diseases,421,Cluster 2,Cluster 1,0,0,0,0,16,81,16,717,50,23,3,16,1,0,1,0,0,0,Stable
viral hepat,Infectious Diseases,0,Cluster 3,Cluster 2,0,0,0,0,0,81,18,717,51,21,3,18,1,0,0,0,0,0,Stable
ameb,Infectious Diseases,11,Cluster 1,Cluster 3,0,0,0,4,0,13,62,229,9,4,0,62,14,0,0,0,0,0,Transfer
shingl,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,8,0,24,43,331,15,7,1,43,20,0,1,0,0,0,Stable
pneumocystis pneumonia,Infectious Diseases,63,Cluster 1,Cluster 3,0,0,0,9,8,1,64,137,1,0,0,64,22,1,1,0,0,0,Stable
treponema pallidum,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,7,7,25,43,328,15,7,1,43,20,1,2,0,0,0,Stable
chlamydia,Infectious Diseases,0,Cluster 2,Cluster 7,0,0,0,8,7,25,43,330,15,7,1,43,18,1,1,0,0,0,Stable
sporothrixschenckii,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,5,0,24,44,323,15,7,1,44,22,1,2,0,0,0,Stable
c. diff,Infectious Diseases,0,Cluster 1,Cluster6,0,0,0,11,8,14,52,240,9,4,0,52,18,1,2,0,0,0,Transfer
herpesvirus simia,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,11,8,14,52,240,9,4,0,52,18,1,2,0,0,0,Death
heartland viru,Infectious Diseases,1,Cluster 3,Cluster 2,0.1,0,0,5,0,15,67,197,8,5,1,67,10,0,0,0,0,0,Stable
burkholderia,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,4,29,59,295,18,8,1,59,7,0,1,0,0,0,Stable
"filariasis, lymphat",Infectious Diseases,984,Cluster 1,Cluster 1,0,0,0,9,0,21,48,290,13,6,1,48,16,1,2,0,0,0,Stable
variola,Infectious Diseases,70,Cluster 4,Cluster 2,0,0,0,9,7,21,48,290,13,6,1,48,16,1,1,0,0,0,Stable
anaplasmosi,Infectious Diseases,3,Cluster 1,Cluster 3,0,0,0,24,24,12,47,248,4,6,2,47,11,1,1,0,0,0,Transfer
coli,Infectious Diseases,821,Cluster 1,Cluster 4,0,0,0,3,1,19,48,282,12,5,1,48,25,1,1,0,0,0,Stable
ebv,Infectious Diseases,137,Cluster 1,Cluster 5,0,0,0,12,8,14,53,239,9,4,0,53,17,1,1,0,0,0,Death
elizabethkingia,Infectious Diseases,0,Cluster 5,Cluster 6,0,0,0,2,1,29,42,353,19,8,1,42,21,1,1,0,0,0,Stable
ringworm,Infectious Diseases,1430,Cluster 1,Cluster 7,0,0,0,3,1,30,41,371,19,9,1,41,23,1,1,0,0,0,Stable
streptobacillus moniliformi,Infectious Diseases,0,Cluster 2,Cluster 8,0,0,0,0,0,28,48,334,17,8,1,48,21,0,1,0,0,0,Stable
candida auri,Infectious Diseases,333,Cluster 1,Cluster 9,0,0,0,0,0,24,52,300,15,7,1,52,20,0,1,0,0,0,Transfer
zoster,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,3,0,29,39,376,19,8,1,39,25,1,1,0,0,0,Stable
malaria,Infectious Diseases,79,Cluster 1,Cluster 2,0,0,0,1,1,33,37,403,21,9,1,37,25,1,1,0,0,0,Stable
parasit,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,5,0,31,38,387,19,9,1,38,23,1,1,0,0,0,Stable
spotted fev,Infectious Diseases,21253,Cluster 2,Cluster 1,0,0,0,3,1,32,38,394,20,9,1,38,24,1,1,0,0,0,Stable
vre,Infectious Diseases,6,Cluster 1,Cluster 2,0,0,0,3,3,4,80,98,2,1,0,80,11,0,0,0,0,0,Stable
flea-born,Infectious Diseases,57,Cluster 1,Cluster 1,0.2,0,0,5,2,4,80,97,2,1,0,80,11,0,0,0,0,0,Transfer
viral,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,3,3,1,82,72,1,0,0,82,12,0,0,0,0,0,Stable
cyclosporiasi,Infectious Diseases,96,Cluster 2,Cluster 3,0.6,0,0,3,3,1,83,74,1,0,0,83,12,0,0,1,0,0,Stable
dog flea,Infectious Diseases,4925,Cluster 3,Cluster 1,0,1,0,3,3,1,84,72,1,0,0,84,12,0,0,0,0,0,Stable
typhus fev,Infectious Diseases,29,Cluster 1,Cluster 3,0,1,0,3,3,1,84,67,1,0,0,84,11,0,0,0,0,0,Stable
pallidum,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,4,4,2,81,86,1,0,0,81,12,0,0,0,0,0,Stable
zoonotic hookworm,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,7,2,0,81,72,0,0,0,81,10,0,0,0,0,0,Transfer
vaginosi,Infectious Diseases,465,Cluster 1,Cluster 1,0.1,0,0,3,0,4,80,95,3,1,0,80,11,0,0,0,0,0,Stable
"keratitis, fung",Infectious Diseases,0,Cluster 2,Cluster6,0,0,0,4,3,34,54,342,19,9,1,54,6,0,0,0,0,0,Stable
smallpox,Infectious Diseases,1,Cluster 1,Cluster 1,0,0,0,8,5,1,72,105,1,0,0,72,16,0,1,0,0,0,Stable
yersinia enterocolitica,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,8,6,15,67,201,9,4,1,67,8,0,0,0,0,0,Stable
candidiasi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,1,24,42,325,14,6,1,42,25,1,2,0,0,0,Stable
nonpathogenic intestinal protozoa,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,1,1,28,42,357,18,8,1,42,25,1,1,0,0,0,Transfer
creutzfeldt-jakob,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,4,4,21,55,264,15,5,1,55,14,0,1,0,0,0,Stable
enteroviru,Infectious Diseases,24,Cluster 1,Cluster 3,0,0,0,2,2,31,38,389,19,9,2,38,26,1,1,0,0,0,Stable
histoplasma hiv,Infectious Diseases,458,Cluster 4,Cluster 4,0,0,0,3,2,24,51,299,13,6,1,51,18,1,1,0,0,0,Stable
epidemic typhu,Infectious Diseases,628,Cluster 1,Cluster 5,0,0,1,43,0,30,13,466,19,8,1,13,10,0,1,0,0,1,Stable
gattii,Infectious Diseases,0,Cluster 1,Cluster 6,0,0,0,2,2,36,29,452,25,8,1,29,31,1,0,0,0,0,Stable
enterobiusvermiculari,Infectious Diseases,156,Cluster 1,Cluster 7,0,0,0,3,3,30,46,364,21,7,1,46,22,0,1,0,0,0,Transfer
powassan,Infectious Diseases,10,Cluster 5,Cluster 8,0,0,0,1,1,21,61,268,15,5,1,61,19,0,0,0,0,0,Stable
fungal mening,Infectious Diseases,0,Cluster 1,Cluster 9,0,0,0,2,2,27,41,356,18,8,1,41,25,1,1,0,0,0,Death
varicella zoster viru,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,0,0,0,32,33,413,19,10,2,33,30,1,0,0,0,0,Death
,Infectious Diseases,6,Cluster 1,Cluster 2,0,0,0,0,0,27,48,327,17,9,0,48,20,0,1,0,0,0,Death
bacillus anthraci,Infectious Diseases,54,Cluster 1,Cluster 4,0,0,0,2,1,7,63,173,4,2,0,63,24,0,1,0,0,0,Stable
amebic meningoenceph,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,0,33,39,398,21,9,1,39,24,1,0,0,0,0,Transfer
anthraci,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,5,5,30,38,373,19,9,1,38,21,1,1,0,0,0,Stable
bartonella hensela,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,0,3,3,28,42,356,18,8,1,42,23,1,1,0,0,0,Stable
bse,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,6,6,30,39,374,19,8,1,39,22,1,1,0,0,0,Stable
diarrhea,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,1,1,30,41,373,19,9,1,41,24,1,1,0,0,0,Stable
hepatitis vir,Infectious Diseases,84,Cluster 1,Cluster 1,0,0,0,1,1,22,46,310,14,6,1,46,28,1,1,0,0,0,Stable
dirofilariasi,Infectious Diseases,1,Cluster 2,Cluster 3,0,0,0,3,1,17,50,280,11,5,1,50,28,1,0,0,0,0,Transfer
